id,StateNumber,StateName,Source,ArtsDefined-Core,EarlyChildhood-Standards,ElementaryandorSecondary-Standards,ArtsRequired-Elementary,ArtsRequired-Middle,ArtsRequired-High,OptionforGradRequirement,Require-StateDistrictTest,ArtsforSchoolAccred,State-ProvidesFunding,Link-Source,DataCollection-Year,Student-Population,RawSchoolNum,SchoolsWithoutArts,StudentsWithoutAccess,Pct-WithStudentsWithAnyAccess,Pct-HSStudentsWithAnyAccess,Pct-StudentsWithAccesstoAll,Pct-SchoolsWithAccesstoAll,Pct-StudentsWithoutAnyAccess,Pct-SchoolsWithAccess,HighPoverty-Access,HighPoverty-EnrollmentPct,Locations-LeastAccess,Demo-LeastAcess,Pct-AnyArtsEnrollment,Pct-HighAnyArtsEnrollment,Pct-ElemAnyArtsEnrollment,Pct-VisArtEnrollment,Pct-MusicEnrollment,Pct-TheatreEnrollment,Pct-WithVisArts,Pct-WithMusic,Pct-WithTheatre,Pct-WithDance,Pct-WithElemArts,Pct-WithElemMusic,Pct-WithElemTheatre,Pct-WithHSArt,Pct-WithHSMusic,Pct-WithHSTheatre
AL,1,Alabama,South Arts does,does,does,does,does,does,does,does,does not,does,does,https://www.southarts.org/resources/research-and-publications/research/arts-education/alabama-data/,2013,"724,178","1,640",,,,,,,,,,,,,,,,,,,42,68.7,15,7,39,69,4,54,65,38
AK,2,Alaska,Alaska Department of Education does not,does not,does,does,does not,does not,does not,does not,does not,does not,does,https://education.alaska.gov/,2020,"132,577",509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,3,Arizona,Arizona Commission of the Arts does,does,does,does,does,does,does,does,does,does not,does not,https://azarts.gov/azartsed-explorer/,2019,"1,101,777","1,972",495,"133,107",88,,,,12,,60,,"suburb, large",,71,46,86,45,52,4,,,,31,63,71,,57,59,31
AR,4,Arkansas,Arkansas Division of Elementary and Secondary Education does not,does not,does,does,does,does,does,does not,does not,does,does,http://dese.ade.arkansas.gov/,2020,"479,432","1,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,5,California,Create CA does,does,does,does,does,does,does,does,does not,does not,does,http://www.createca.dreamhosters.com/wp-content/uploads/2019/09/California-Data-Project-Summary-Report-2019-Final.pdf,2019,"3,114,273","3,736",454,"83,643",98,,26,12,3,88,87,36,rural,the majority of students in the school were either African American or Hispanic,39,43,,17,14,4,76,66,42,15,,,,,,
CO,6,Colorado,Colorado Department of Education does,does,does,does,does not,does not,does,does not,does,does not,does,https://edx.cde.state.co.us/SchoolView/DataCenter/reports.jspx?_adf_ctrl-state=pac20phbp_4&_afrLoop=4265324724573472&_afrWindowMode=0&_adf.ctrl-state=19vihfhk4m_4,2014,"909,865","1,907",,"28,000",,,,,,,,,rural,,74,54,98,63,62,17,87,88,34,13,91,94,13,76,81,64
CT,7,Connecticut,Connecticut Department of Education does,does not,does,does,does,does,does,does,does not,does not,does not,http://edsight.ct.gov/SASPortal/main.do,2019,"527,829","1,512",,,,51.9,,,,,,,,,,,,,,,,,,,,,,,,
DE,8,Delaware,Delaware Department of Education does,does not,does,does,does,does,does,does not,does not,does not,does not,https://drive.google.com/file/d/1xqx-agyZRbh-8FHbiEEDXW8c_1fq5WKD/view?usp=sharing ,2019,"140,849",212,17,,,,,,,91,,,,,,,,,,,,,,,,,,,,
DC,9,District of Columbia,D.C. Public Schools does not,does not,does,does,does not,does not,does not,does not,does not,does not,does not,https://dcps.dc.gov/,2019,"93,708",240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,10,Florida,Florida Department of Education does,does not,does,does,does,does,does,does not,does not,does not,does,https://edstats.fldoe.org/SASWebReportStudio/gotoReportSection.do?sectionNumber=1,2019,"3,134,231","3,030",,,,,,,,,,60,,,56.9,,,43.3,44.5,3.9,,,,,,,,,,
